year,Semana,Type,values
2022-2023,42,每周价格变动,
2022-2023,43,每周价格变动,
2022-2023,44,每周价格变动,35.9
2022-2023,45,每周价格变动,26.3
2022-2023,46,每周价格变动,21.5
2022-2023,47,每周价格变动,18.1
2022-2023,48,每周价格变动,17.3
2022-2023,49,每周价格变动,19.2
2022-2023,50,每周价格变动,17
2022-2023,51,每周价格变动,11.1
2022-2023,52,每周价格变动,9.07
2022-2023,42,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2022-2023,43,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2022-2023,44,Toneladas que llegan cada semana 每周到华车厘子（吨）,285
2022-2023,45,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2022-2023,46,Toneladas que llegan cada semana 每周到华车厘子（吨）,1745
2022-2023,47,Toneladas que llegan cada semana 每周到华车厘子（吨）,2068
2022-2023,48,Toneladas que llegan cada semana 每周到华车厘子（吨）,2523
2022-2023,49,Toneladas que llegan cada semana 每周到华车厘子（吨）,4419
2022-2023,50,Toneladas que llegan cada semana 每周到华车厘子（吨）,12041
2022-2023,51,Toneladas que llegan cada semana 每周到华车厘子（吨）,13425
2022-2023,52,Toneladas que llegan cada semana 每周到华车厘子（吨）,30203
2022-2023,1,每周价格变动,9.29
2022-2023,2,每周价格变动,10.2
2022-2023,3,每周价格变动,10.7
2022-2023,4,每周价格变动,8.37
2022-2023,5,每周价格变动,7.47
2022-2023,6,每周价格变动,5.1
2022-2023,7,每周价格变动,7.36
2022-2023,8,每周价格变动,8.49
2022-2023,9,每周价格变动,
2022-2023,10,每周价格变动,
2022-2023,11,每周价格变动,
2022-2023,12,每周价格变动,
2023-2024,42,每周价格变动,26.8
2023-2024,43,每周价格变动,42.7
2023-2024,44,每周价格变动,45.5
2023-2024,45,每周价格变动,33.1
2023-2024,46,每周价格变动,25.3
2023-2024,47,每周价格变动,22.7
2023-2024,48,每周价格变动,22.1
2023-2024,49,每周价格变动,20.6
2023-2024,50,每周价格变动,17.5
2023-2024,51,每周价格变动,15.9
2023-2024,52,每周价格变动,16.4
2022-2023,1,Toneladas que llegan cada semana 每周到华车厘子（吨）,8000
2022-2023,2,Toneladas que llegan cada semana 每周到华车厘子（吨）,62945
2022-2023,3,Toneladas que llegan cada semana 每周到华车厘子（吨）,35183
2022-2023,4,Toneladas que llegan cada semana 每周到华车厘子（吨）,71040
2022-2023,5,Toneladas que llegan cada semana 每周到华车厘子（吨）,68073
2022-2023,6,Toneladas que llegan cada semana 每周到华车厘子（吨）,25753
2022-2023,7,Toneladas que llegan cada semana 每周到华车厘子（吨）,4965
2022-2023,8,Toneladas que llegan cada semana 每周到华车厘子（吨）,16796
2022-2023,9,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2022-2023,10,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2022-2023,11,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2022-2023,12,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2023-2024,42,Toneladas que llegan cada semana 每周到华车厘子（吨）,12.6
2023-2024,43,Toneladas que llegan cada semana 每周到华车厘子（吨）,59.6
2023-2024,44,Toneladas que llegan cada semana 每周到华车厘子（吨）,167
2023-2024,45,Toneladas que llegan cada semana 每周到华车厘子（吨）,838
2023-2024,46,Toneladas que llegan cada semana 每周到华车厘子（吨）,1558
2023-2024,47,Toneladas que llegan cada semana 每周到华车厘子（吨）,2006
2023-2024,48,Toneladas que llegan cada semana 每周到华车厘子（吨）,2727
2023-2024,49,Toneladas que llegan cada semana 每周到华车厘子（吨）,2683
2023-2024,50,Toneladas que llegan cada semana 每周到华车厘子（吨）,1935
2023-2024,51,Toneladas que llegan cada semana 每周到华车厘子（吨）,925
2023-2024,52,Toneladas que llegan cada semana 每周到华车厘子（吨）,12838
2023-2024,1,每周价格变动,10.9
2023-2024,2,每周价格变动,9.66
2023-2024,3,每周价格变动,10.1
2023-2024,4,每周价格变动,10.3
2023-2024,5,每周价格变动,10.4
2023-2024,6,每周价格变动,10.4
2023-2024,7,每周价格变动,9.85
2023-2024,8,每周价格变动,10.6
2023-2024,9,每周价格变动,9
2023-2024,10,每周价格变动,8.16
2023-2024,11,每周价格变动,7.4
2023-2024,12,每周价格变动,12.5
2024-2025,42,每周价格变动,29.8
2024-2025,43,每周价格变动,42.2
2024-2025,44,每周价格变动,41.7
2024-2025,45,每周价格变动,29.3
2024-2025,46,每周价格变动,21.8
2024-2025,47,每周价格变动,19.4
2024-2025,48,每周价格变动,18.8
2024-2025,49,每周价格变动,18.2
2024-2025,50,每周价格变动,13.6
2024-2025,51,每周价格变动,11.5
2024-2025,52,每周价格变动,8.72
2023-2024,1,Toneladas que llegan cada semana 每周到华车厘子（吨）,4031
2023-2024,2,Toneladas que llegan cada semana 每周到华车厘子（吨）,27744
2023-2024,3,Toneladas que llegan cada semana 每周到华车厘子（吨）,44614
2023-2024,4,Toneladas que llegan cada semana 每周到华车厘子（吨）,54305
2023-2024,5,Toneladas que llegan cada semana 每周到华车厘子（吨）,99181
2023-2024,6,Toneladas que llegan cada semana 每周到华车厘子（吨）,36587
2023-2024,7,Toneladas que llegan cada semana 每周到华车厘子（吨）,26313
2023-2024,8,Toneladas que llegan cada semana 每周到华车厘子（吨）,48102
2023-2024,9,Toneladas que llegan cada semana 每周到华车厘子（吨）,674
2023-2024,10,Toneladas que llegan cada semana 每周到华车厘子（吨）,3439
2023-2024,11,Toneladas que llegan cada semana 每周到华车厘子（吨）,2679
2023-2024,12,Toneladas que llegan cada semana 每周到华车厘子（吨）,2322
2024-2025,42,Toneladas que llegan cada semana 每周到华车厘子（吨）,
2024-2025,43,Toneladas que llegan cada semana 每周到华车厘子（吨）,51.4
2024-2025,44,Toneladas que llegan cada semana 每周到华车厘子（吨）,281
2024-2025,45,Toneladas que llegan cada semana 每周到华车厘子（吨）,1595
2024-2025,46,Toneladas que llegan cada semana 每周到华车厘子（吨）,2028
2024-2025,47,Toneladas que llegan cada semana 每周到华车厘子（吨）,2794
2024-2025,48,Toneladas que llegan cada semana 每周到华车厘子（吨）,3027
2024-2025,49,Toneladas que llegan cada semana 每周到华车厘子（吨）,5760
2024-2025,50,Toneladas que llegan cada semana 每周到华车厘子（吨）,9334
2024-2025,51,Toneladas que llegan cada semana 每周到华车厘子（吨）,12608
2024-2025,52,Toneladas que llegan cada semana 每周到华车厘子（吨）,64474
2024-2025,1,每周价格变动,7.38
2024-2025,2,每周价格变动,6.08
2024-2025,3,每周价格变动,7.65
2024-2025,1,Toneladas que llegan cada semana 每周到华车厘子（吨）,85492
2024-2025,2,Toneladas que llegan cada semana 每周到华车厘子（吨）,103479
2024-2025,3,Toneladas que llegan cada semana 每周到华车厘子（吨）,122799
